TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
KAMADGIRI   ,20231005,120.80,126.00,120.80,126.00,511
PATSPIN INDI,20231005,11.30,11.30,10.70,11.15,16396
ONEGLOBAL   ,20231005,50.02,52.00,47.60,47.98,2512
NEOINFRA    ,20231005,13.96,13.96,12.64,13.90,271
WINSOME YRN ,20231005,7.37,7.37,7.37,7.37,240
PREMIER POLY,20231005,108.00,110.25,108.00,110.25,819
EVERFIN     ,20231005,61.89,63.00,61.89,61.90,4480
KRRAIL      ,20231005,808.95,822.25,783.20,822.25,40436
YARN SYNDICA,20231005,32.41,32.41,32.40,32.40,6884
GUJ COTEX   ,20231005,3.20,3.89,3.20,3.45,106206
GARWARE SYN.,20231005,11.79,11.79,11.79,11.79,30
SARUPINDUS  ,20231005,26.91,26.91,26.91,26.91,67
HINDU.ADHESI,20231005,270.00,278.95,265.10,277.65,2967
SRI KPR IND ,20231005,18.20,18.20,17.80,17.92,1775
JYOTI RESINS,20231005,1688.00,1688.00,1648.00,1656.65,7064
MAHA.RUBTECH,20231005,193.00,209.05,193.00,200.40,72045
SOUTH.LATEX ,20231005,16.95,16.95,15.35,15.35,501
WIMSOME TEXT,20231005,63.80,64.60,62.30,62.74,7121
MOD.INSUL.  ,20231005,90.47,91.50,83.00,89.53,194998
REG.CERAMIC ,20231005,36.12,36.12,36.12,36.12,5877
MURD.CERAM  ,20231005,45.66,56.86,45.66,56.55,303816
SAINT-GOBAIN,20231005,115.90,116.95,114.00,114.20,49272
MADHUS.IND. ,20231005,73.40,73.40,73.40,73.40,4509
RESTILE CER.,20231005,3.60,3.61,3.60,3.60,1246
MADHAV MARB.,20231005,45.40,51.45,45.40,50.38,4582
RAMASIGNS   ,20231005,3.00,3.00,3.00,3.00,17359
HIND.NAT.GLS,20231005,12.93,14.29,12.93,14.29,304752
HALDYN GLASS,20231005,118.85,129.00,118.50,123.85,405188
DUROPLY     ,20231005,187.00,187.00,179.00,182.20,6469
SHREYANS IND,20231005,240.00,240.00,235.15,239.00,4252
AGIO PAPER  ,20231005,3.80,3.80,3.75,3.75,87
PAKKA       ,20231005,232.70,236.50,228.20,230.10,19857
VISHNU CHEM ,20231005,339.95,339.95,331.00,334.75,22779
JUMBO BAG   ,20231005,26.72,26.72,25.50,25.58,9187
N.R.AGARWAL ,20231005,374.55,400.00,358.50,365.10,4549
SANGAL PAPER,20231005,187.00,194.00,187.00,191.80,736
SH.KARTHIK P,20231005,9.00,9.00,8.56,8.56,1244
S.I.PAPER   ,20231005,106.70,109.40,106.65,107.20,3077
FAMILYCARE  ,20231005,7.25,7.25,7.19,7.19,106476
VINDHYA TELE,20231005,2239.90,2286.00,2236.35,2277.65,1277
RIR         ,20231005,704.80,704.80,656.00,670.10,11666
JETINFOTRAN ,20231005,47.05,47.05,47.05,47.05,1310
APLAB LTD.  ,20231005,66.00,66.84,66.00,66.84,5227
PCS TECH    ,20231005,14.47,14.47,13.52,14.07,11814
USHA MART.LT,20231005,339.00,344.70,335.30,336.50,8173
SPEL SEMICON,20231005,57.44,57.44,54.50,56.40,41814
SUBROS LTD. ,20231005,388.95,389.60,384.80,385.45,1511
EDVENSWA    ,20231005,39.05,41.20,39.05,40.15,29763
HONEYWELL   ,20231005,39518.25,39518.25,39178.10,39250.60,49
SWITCH.TECH.,20231005,49.90,50.89,49.90,50.89,85
CALCOM VISIO,20231005,153.80,154.00,148.10,150.70,3721
DYNAVISION  ,20231005,151.00,158.45,150.05,157.85,205
BCC FUBA    ,20231005,72.27,72.27,72.27,72.27,5788
PRECISION EL,20231005,47.72,47.73,47.72,47.73,452
FINELINE CI ,20231005,69.40,69.40,68.95,68.95,229
HBL P SYS   ,20231005,280.10,281.60,273.05,277.65,173571
S&S POWER SW,20231005,108.15,108.15,108.15,108.15,607
GUJARATPOLY ,20231005,77.00,87.00,73.00,86.00,180958
GUJ.IND.POW.,20231005,139.70,147.50,139.25,145.95,218394
MINDTECK (I),20231005,170.00,181.00,170.00,177.05,57735
HAVELLSINDIA,20231005,1386.00,1425.35,1386.00,1410.50,13497
ACI INFOCOM ,20231005,1.22,1.24,1.22,1.24,462921
SBEC SYSTEMS,20231005,21.35,21.97,21.35,21.97,2924
INCAP LTD.  ,20231005,39.85,41.80,38.35,38.41,1553
GUJ.INTRUX  ,20231005,252.00,252.00,240.15,248.30,3398
IGARSHI MOT ,20231005,620.05,623.90,615.05,617.45,2469
VINTRON INF.,20231005,4.93,4.93,4.54,4.66,52831
PAN ELECTR. ,20231005,29.95,31.50,29.95,30.65,199
VXL INSTRUM.,20231005,6.25,6.25,6.24,6.24,498
LEE&NEE SOFT,20231005,7.85,7.90,7.72,7.88,13469
PATEL AIRTEM,20231005,376.55,386.60,367.65,381.60,21431
BFLYGANDHI  ,20231005,1234.35,1234.35,1213.90,1225.90,57
ATHENAGLO   ,20231005,64.50,66.99,61.50,65.00,4577
DUTRON POLY.,20231005,152.05,159.95,152.05,158.95,190
R.S.SOFTWARE,20231005,50.92,50.92,50.92,50.92,6632
MAGNA ELECTR,20231005,512.00,520.00,500.80,500.80,1744
MARSONS     ,20231005,6.18,6.18,5.61,5.74,32275
ELNET TECH. ,20231005,265.90,265.90,242.55,248.15,6790
ACCEL       ,20231005,20.50,21.00,20.20,20.37,11368
ROTO PUMPS  ,20231005,353.05,359.00,351.00,351.30,3789
TTK PRESTIGE,20231005,790.35,790.40,777.10,779.00,719
DHINDIA     ,20231005,74.97,88.96,74.97,88.96,338931
RAJ GLO WIR ,20231005,765.00,768.70,747.40,750.95,4429
SURANATP    ,20231005,11.44,11.86,11.42,11.63,16421
ONWARD TECHN,20231005,544.40,549.65,540.50,545.25,986
ALFA TRANSFO,20231005,61.62,61.62,61.40,61.40,19648
NHCFOODS    ,20231005,42.02,43.69,41.20,41.56,16177
PVP VENT LTD,20231005,12.16,12.24,11.91,12.24,197663
TRIGYN TECH ,20231005,119.45,125.10,119.20,124.55,11563
KEI INDUST. ,20231005,2660.05,2734.40,2620.85,2699.00,15108
IMPPOWERS   ,20231005,5.00,5.00,5.00,5.00,90
KEERTHI     ,20231005,137.00,137.00,133.50,136.75,100
BHEEMA CEM  ,20231005,27.85,27.85,26.24,27.76,52334
SURAJ PRODUC,20231005,284.80,284.80,263.90,268.90,5220
ANJANI PORTL,20231005,182.65,183.05,182.10,183.00,636
MODINATURAL ,20231005,304.00,339.00,304.00,335.80,45266
PRASANT IND.,20231005,11.72,11.72,11.72,11.72,3
SHAH FOOD(P),20231005,177.00,179.65,166.60,167.10,462
KHANDEL. EXT,20231005,65.75,66.00,63.90,64.50,222
RITESH INTER,20231005,36.20,37.50,35.06,36.80,2327
HIND.FOODS  ,20231005,543.05,547.20,533.25,540.35,21068
NAHAR INDUST,20231005,139.70,141.55,137.55,139.95,2743
VADILAL ENT ,20231005,3759.00,3759.00,3759.00,3759.00,1
ASHIANA AGRO,20231005,11.96,11.96,11.96,11.96,2558
RGRL        ,20231005,8.74,8.74,8.28,8.29,3295
WILLIAM.FIN.,20231005,5.15,5.15,5.15,5.15,6
AJANTA SOYA ,20231005,34.91,35.64,34.50,35.15,131287
WILLIAM.MAGO,20231005,29.36,29.51,28.56,28.71,4723
SIEL        ,20231005,46.47,46.47,42.24,43.27,920
SAPTARISHI A,20231005,15.68,16.80,15.51,16.60,4493
SARDA PROT. ,20231005,41.00,45.00,40.95,40.96,3255
PRIMA AGRO L,20231005,27.55,27.66,27.00,27.65,6029
MADHUR IND  ,20231005,4.69,4.69,4.69,4.69,8496
TARAI FOODS ,20231005,5.14,5.14,4.90,5.14,1401
MODERN DAIRI,20231005,20.19,20.19,19.50,19.99,30647
BAMBINO AGRO,20231005,352.40,352.40,337.70,348.00,930
PRIME INDS. ,20231005,155.45,155.45,155.45,155.45,25342
VSF PROJ    ,20231005,53.30,53.30,52.00,53.27,4883
BANSISONS TE,20231005,4.94,4.94,4.94,4.94,400
POONA DAL   ,20231005,61.95,66.99,56.10,58.12,6810
TRANSGL.FOOD,20231005,83.00,83.07,83.00,83.07,2
SHARAT INDUS,20231005,47.00,47.90,46.25,47.86,13700
KSE LIMITED ,20231005,1639.75,1645.95,1610.30,1633.40,642
NARBADA     ,20231005,57.00,57.00,53.30,54.84,2624
VIRAT CRANE ,20231005,42.00,44.00,42.00,43.87,15699
IB INFOTECH ,20231005,92.10,92.10,92.10,92.10,60
AMBARPIL    ,20231005,204.90,204.90,196.00,203.00,293
CHORDIA FOOD,20231005,84.32,84.58,80.61,82.00,1358
TAI INDUST. ,20231005,38.15,38.97,37.63,38.50,882
BKV INDUSTRS,20231005,9.50,10.09,9.50,10.00,3498
NCC BLUE WAT,20231005,8.03,8.43,8.03,8.43,900
NORBEN TEA  ,20231005,13.01,13.38,13.01,13.30,6819
ASIAN TEA   ,20231005,13.03,13.55,13.03,13.29,18603
SIMRAN FARMS,20231005,126.90,126.90,122.00,125.10,5566
HIND.AGRIGEN,20231005,41.63,41.63,41.63,41.63,700
SURYO FOODS ,20231005,12.59,12.59,12.59,12.59,1221
INTEG.PROEIN,20231005,13.63,13.63,13.63,13.63,1
OMAX AUTOS. ,20231005,58.55,59.05,57.10,58.84,2849
MUNJAL SHOWA,20231005,143.80,143.90,141.50,143.10,2577
TVSHLTD     ,20231005,5449.10,5499.00,5325.00,5435.00,197
MUNAUTO     ,20231005,55.26,56.78,55.26,56.55,3714
JAYBH.MARUTI,20231005,271.45,272.15,266.05,267.90,1408
RACLGEAR    ,20231005,1165.00,1199.90,1165.00,1195.55,5064
SAMKRG PIST.,20231005,143.90,143.90,142.00,143.00,1911
RATNAMNI MET,20231005,2592.60,2608.80,2570.40,2585.30,2300
VESUVIUS IND,20231005,3084.85,3090.00,3061.80,3089.30,105
AUTOMOTIVE S,20231005,410.25,420.00,410.25,413.60,1710
ARCEE INDUST,20231005,6.15,6.20,6.15,6.20,1109
ABC INDIA   ,20231005,88.05,92.94,88.05,92.50,56
BALURGHAT TE,20231005,16.29,16.97,16.00,16.68,11500
COASTAL ROAD,20231005,21.00,21.00,21.00,21.00,100
SIBAR AUTO  ,20231005,8.33,8.33,7.99,8.29,1593
SHREY SH LOG,20231005,368.20,374.35,357.70,360.25,10532
STARLOG     ,20231005,29.41,29.41,29.41,29.41,5228
TITANIN     ,20231005,56.95,56.95,56.95,56.95,34319
EUROTEX IND ,20231005,11.25,11.25,11.25,11.25,1
INDO COUNT  ,20231005,223.65,224.70,219.15,222.75,12261
MARAL OVERS ,20231005,77.95,77.95,74.05,75.69,1192
SOMA TEXTILE,20231005,18.38,18.75,18.38,18.70,2096
ADV LIFESTY ,20231005,107.80,112.20,107.80,112.20,8365
KAKATIYA TEX,20231005,28.53,29.46,28.53,28.64,447
OCTAVE      ,20231005,1.72,1.87,1.72,1.87,12150
PASARI SPIN ,20231005,7.11,7.11,6.85,7.09,873
SPENTEX INDS,20231005,2.22,2.22,2.15,2.15,3767
AMARJOTHI SP,20231005,157.00,159.95,157.00,159.65,2323
OLYMPIA IND.,20231005,81.25,81.25,76.00,76.91,1638
NAGREEKA EXP,20231005,59.60,59.60,54.25,55.52,14937
SUDITI IND. ,20231005,15.85,17.79,15.85,16.44,3587
SBFL        ,20231005,20.00,20.49,19.75,20.49,5232
EUREKA IND. ,20231005,3.66,3.66,3.66,3.66,6584
ADITYA SPIN.,20231005,22.50,22.90,22.30,22.54,1275
PRIME URBAN ,20231005,8.11,8.95,8.11,8.95,567
DHANLXMI FAB,20231005,48.51,50.51,46.85,49.00,3115
SRI LAK.SAR.,20231005,35.50,40.40,35.50,38.37,1118
ZODIAC CLOTH,20231005,139.95,143.95,133.65,135.05,8590
SRI RAMK.MIL,20231005,27.00,28.00,27.00,28.00,2894
SUPER SPIN. ,20231005,7.87,8.00,7.77,7.86,17987
UNITED TEXT.,20231005,12.88,12.88,12.87,12.88,757
SIL INVEST  ,20231005,324.80,324.80,314.65,317.20,1278
SURYLAK.COTT,20231005,69.95,71.50,68.50,70.60,8690
SAMTEX FASH.,20231005,2.28,2.37,2.27,2.28,62663
CITYMAN     ,20231005,20.44,20.44,20.40,20.40,3
DHAN ROTO SP,20231005,101.75,105.90,101.75,104.00,1121
SANBLUE     ,20231005,31.78,31.78,29.64,31.78,806
UNI ROYAL IN,20231005,16.75,18.00,16.75,17.94,1454
TATIA GLOB  ,20231005,3.18,3.18,3.18,3.18,179184
SAMBANDAM SP,20231005,175.00,175.50,157.00,171.20,230
KANDAGIRI SP,20231005,15.40,15.40,14.35,14.35,750
PARAS PETRO ,20231005,1.68,1.68,1.68,1.68,35066
KITEX GARMEN,20231005,208.55,209.10,204.30,206.60,4394
CRANEX LTD. ,20231005,38.15,39.14,38.00,38.98,7116
BATLIBOI LTD,20231005,76.79,77.20,73.52,76.50,14269
AUSTIN ENGG.,20231005,152.00,162.00,152.00,155.65,2950
UNITED DRILL,20231005,237.95,239.00,232.20,233.40,1619
FLUIDOMAT   ,20231005,309.00,311.50,309.00,311.50,1879
EMA INDIA   ,20231005,19.25,21.26,19.25,21.26,1248
WINDSOR MACH,20231005,74.19,74.19,74.19,74.19,5285
SHANTHI GEAR,20231005,450.55,451.85,443.95,445.45,1309
MIVEN MACHIN,20231005,25.63,25.63,25.63,25.63,1334
UV DER HORST,20231005,186.00,194.60,185.95,190.00,421
KILBURN ENGG,20231005,177.70,187.35,172.00,187.35,384839
BIRLA PRETEC,20231005,44.90,47.69,44.90,46.45,110109
YUKEN INDIA ,20231005,758.90,758.95,700.00,714.05,1704
TIMKEN (I)  ,20231005,3100.15,3100.15,3048.55,3052.65,1001
VOITH PAPER ,20231005,1690.00,1720.00,1672.20,1689.95,1723
ARTSON ENG  ,20231005,160.50,160.50,158.00,158.00,46377
SOLITAIR MC ,20231005,54.01,56.00,53.55,56.00,2294
DIACABS     ,20231005,41.42,41.42,41.42,41.42,2
INDSIL HYD  ,20231005,53.50,53.50,49.80,52.07,103909
ITL INDUSTRS,20231005,301.00,304.40,278.00,292.30,115055
FRONTIER SPR,20231005,659.00,674.80,652.00,660.30,970
PRAJ IND.LTD,20231005,578.00,585.00,569.65,571.15,108180
RASANDIK ENG,20231005,96.80,97.00,87.10,91.28,1598
YOGI SUNGWON,20231005,3.83,4.00,3.83,4.00,4651
TANEJA AERO.,20231005,243.40,247.00,239.05,241.60,21378
CONART ENG. ,20231005,61.92,61.92,56.05,57.23,22309
MINAL IND   ,20231005,5.04,5.04,5.04,5.04,22671
SHIVAGRICO  ,20231005,25.50,25.50,23.29,23.35,870
M.M.FORGINGS,20231005,882.35,882.80,867.90,874.25,756
IYKOT HITEC ,20231005,25.99,25.99,25.49,25.49,27
MAYUR UNIQ. ,20231005,546.90,568.70,545.00,559.85,10138
CENLUB INDUS,20231005,404.80,408.75,395.00,401.00,22181
RAJOO ENGIN.,20231005,83.99,85.50,83.50,85.50,42872
DOLPHIN OFF.,20231005,409.05,409.05,409.05,409.05,4
VEEJAY LAKSH,20231005,34.30,35.69,34.30,35.69,3
RAM RAT.WIRE,20231005,268.85,275.15,267.05,270.90,3271
KPIL        ,20231005,655.90,660.00,642.00,649.00,6574
NMSRESRC    ,20231005,54.95,54.95,54.95,54.95,1597
CANDOUR     ,20231005,37.75,37.75,34.77,36.97,33607
T & I GLOBAL,20231005,198.70,205.60,195.00,198.55,1089
BEMCO HYDRAU,20231005,760.00,768.00,745.00,746.60,5006
ANSAL BUILD.,20231005,81.00,81.70,79.00,80.38,3466
WEIZMANN LTD,20231005,106.10,113.65,106.10,109.00,4373
B.N.RATHI SE,20231005,82.39,82.39,76.00,76.89,52417
RISHITECH   ,20231005,33.80,34.60,33.21,33.38,11573
SINCLAIR HOT,20231005,159.20,166.25,159.20,162.30,66471
SAFARI IND. ,20231005,4325.00,4373.20,4240.00,4282.00,6666
JJ FINANCE  ,20231005,19.15,19.15,19.15,19.15,32
COSMO FERR. ,20231005,253.10,265.65,253.10,265.65,11055
FUTURA SEC. ,20231005,22.12,22.12,22.00,22.00,11
ADOR MULTI. ,20231005,32.10,32.56,31.17,32.00,2852
MEDI CAPS   ,20231005,42.19,42.57,40.05,41.92,29045
OTCO INTERN.,20231005,5.20,5.65,5.20,5.65,3282
MORGAN CRU  ,20231005,1342.00,1345.00,1301.40,1330.00,1633
BA PACK     ,20231005,192.60,199.90,191.05,198.45,483
SRM ENERGY  ,20231005,5.94,5.94,5.94,5.94,5741
BHARAT SEATS,20231005,123.00,125.80,121.50,122.15,8775
CONT.PETRO  ,20231005,48.20,49.98,48.20,49.54,2333
NB FOOT WEAR,20231005,3.64,3.64,3.64,3.64,2000
MACHINO PLAS,20231005,171.55,171.55,171.55,171.55,266
PEARL POLYME,20231005,26.22,26.89,25.66,26.73,26200
VENKEY'S (I),20231005,1994.00,1994.00,1960.00,1968.75,3264
G.V.FILMS   ,20231005,0.53,0.53,0.51,0.52,942610
