TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, OI
ASAHISONG,20231006, 250.25, 255.60, 247.25, 248.30, 10589, 7013
ASAL,20231006, 414.45, 421.85, 412.65, 415.20, 23031, 9649
ASALCBR,20231006, 460.75, 470.00, 457.60, 468.10, 49914, 26118
ASHAPURMIN,20231006, 298.00, 298.50, 289.80, 293.70, 116775, -
ASHIANA,20231006, 205.35, 206.30, 195.25, 199.90, 334417, 144755
ASHIMASYN,20231006, 16.00, 17.35, 15.75, 16.35, 2217488, 1007464
ASHOKA,20231006, 127.05, 128.00, 124.85, 127.10, 2389928, 877458
ASHOKAMET,20231006, 19.45, 19.45, 18.75, 19.00, 10517, -
ASHOKLEY,20231006, 173.30, 173.50, 170.85, 171.90, 4756787, 2134087
ASIANENE,20231006, 182.30, 191.35, 177.35, 189.90, 144124, 84220
ASIANHOTNR,20231006, 143.55, 143.85, 137.00, 138.60, 6253, 5088
ASIANPAINT,20231006, 3214.75, 3217.00, 3190.00, 3195.75, 814257, 517610
ASIANTILES,20231006, 68.85, 69.40, 66.60, 66.90, 1783493, 907275
ASLIND,20231006, 25.00, 25.00, 25.00, 25.00, 4000, 4000
ASMS,20231006, 11.80, 11.80, 11.80, 11.80, 12903, -
ASPINWALL,20231006, 252.55, 255.00, 246.10, 251.05, 5005, 4114
ASTEC,20231006, 1323.75, 1385.05, 1320.00, 1366.75, 13229, 4889
ASTERDM,20231006, 330.00, 330.00, 324.50, 326.80, 123508, 69279
ASTRAL,20231006, 1869.95, 1895.00, 1856.65, 1889.40, 318424, 100635
ASTRAMICRO,20231006, 441.35, 448.50, 433.50, 446.25, 516700, 229243
ASTRAZEN,20231006, 4525.00, 4744.70, 4486.05, 4726.10, 71146, 25282
ASTRON,20231006, 33.20, 33.50, 32.10, 33.00, 18002, -
ATALREAL,20231006, 78.15, 78.50, 76.85, 78.05, 44050, -
ATAM,20231006, 180.00, 186.25, 178.10, 179.90, 40282, 30072
ATFL,20231006, 815.85, 843.30, 812.90, 835.90, 11498, 9156
ATGL,20231006, 605.05, 609.70, 603.50, 604.60, 326953, 169677
ATL,20231006, 36.95, 39.20, 36.50, 38.85, 6982871, 3533834
ATLANTA,20231006, 14.00, 14.15, 13.75, 14.10, 41696, -
ATUL,20231006, 7029.00, 7038.95, 6950.00, 7025.05, 18722, 9097
