TICKERCODE, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
502420,20231006,50.95,50.95,49.65,49.84,177914
502445,20231006,26.25,27.89,25.70,27.23,3893
502448,20231006,1.17,1.20,1.12,1.20,185395
502450,20231006,381.30,381.45,375.75,377.95,5677
502587,20231006,63.50,65.25,63.00,65.02,11438
502589,20231006,92.15,95.70,88.50,95.65,75
502820,20231006,85.96,85.96,80.55,83.15,5826
502865,20231006,667.75,675.90,665.15,670.85,1216
502873,20231006,107.90,114.75,101.05,112.75,17274
502901,20231006,4454.55,4454.55,4454.55,4454.55,1
502933,20231006,263.95,263.95,260.00,261.70,202
502958,20231006,4274.90,4275.00,4201.00,4208.50,149
502986,20231006,379.50,383.90,370.35,379.95,13716
503031,20231006,31.88,32.04,31.35,31.90,88438
503092,20231006,25.35,25.37,25.00,25.00,780
503100,20231006,1787.95,1814.80,1765.45,1801.00,6280
503101,20231006,428.50,432.75,419.00,428.45,2242
503127,20231006,4399.00,4399.00,3981.00,4120.40,44
503162,20231006,227.30,235.00,225.35,230.00,5138
503229,20231006,107.20,110.00,107.20,109.95,418
503310,20231006,284.35,299.50,283.10,297.10,134259
503349,20231006,4045.00,4045.00,3911.10,3959.40,106
503624,20231006,6.22,6.93,6.22,6.87,20162
503641,20231006,13.94,13.94,13.10,13.76,12066
503657,20231006,16.10,16.50,15.60,16.03,109006
503663,20231006,4.77,4.98,4.54,4.64,411439
503669,20231006,25.05,25.05,25.05,25.05,999
503675,20231006,0.69,0.69,0.66,0.66,302423
503685,20231006,45.90,46.05,43.61,43.82,4031
503772,20231006,69.50,72.00,69.50,72.00,59
503804,20231006,520.00,520.00,509.95,519.00,31
503806,20231006,2274.95,2274.95,2237.50,2247.25,8495
503811,20231006,565.05,574.00,560.00,569.50,2555
503816,20231006,49.30,49.30,46.01,46.25,8543
503863,20231006,11.74,11.74,11.74,11.74,1
503960,20231006,3757.60,3860.00,3691.80,3842.65,1307
504000,20231006,78.47,78.75,77.60,77.99,59308
504028,20231006,86.95,86.95,85.00,85.17,9975
504036,20231006,353.70,353.70,353.70,353.70,596
504067,20231006,536.55,539.05,526.25,530.55,41527
504076,20231006,60.88,60.88,60.88,60.88,2753
504080,20231006,478.00,500.95,478.00,478.00,76
504084,20231006,12050.00,12100.00,11600.00,11800.00,13
504092,20231006,113.40,116.10,111.00,114.00,1293
504093,20231006,396.50,396.50,364.55,388.00,52614
504112,20231006,784.00,788.35,775.00,777.65,6576
504132,20231006,1433.50,1464.00,1433.50,1447.10,4201
504176,20231006,555.00,568.00,553.00,560.00,16587
504180,20231006,42.49,42.49,40.11,41.78,10848
504212,20231006,498.50,523.00,497.35,508.55,5866
504220,20231006,100.05,105.45,99.25,105.30,16690
504240,20231006,136.15,136.15,136.15,136.15,2628
504258,20231006,1530.00,1540.00,1483.50,1506.20,1515
504273,20231006,10.88,11.25,10.35,10.36,20138
504340,20231006,9.07,9.07,9.07,9.07,6501
504341,20231006,70.99,78.90,65.26,74.99,119849
504351,20231006,1.02,1.02,1.02,1.02,9669237
504356,20231006,9.38,9.38,8.53,9.26,35287
504378,20231006,5.65,5.88,5.65,5.73,32134
504380,20231006,87.68,90.00,86.11,89.95,846
504392,20231006,69.00,71.76,69.00,71.76,10895
504397,20231006,58.00,58.00,58.00,58.00,1
504605,20231006,2350.40,2350.40,2305.00,2350.40,1704
504614,20231006,216.60,220.50,214.75,216.00,5741
504646,20231006,620.00,620.00,588.20,604.85,1391
504648,20231006,38.80,38.80,38.80,38.80,1876
504731,20231006,25.98,26.08,25.97,26.08,879
504741,20231006,252.30,254.20,245.25,252.40,5288
504786,20231006,480.90,499.00,476.00,495.00,2839
504810,20231006,75.16,75.16,71.41,71.54,4267
504840,20231006,2326.00,2395.75,2266.00,2314.75,174
504879,20231006,37.00,37.45,36.60,36.74,8488
504882,20231006,4778.00,4791.05,4715.00,4721.10,37
504903,20231006,22.83,22.83,22.83,22.83,13263
504908,20231006,417.20,437.85,417.05,420.00,318
504918,20231006,1503.05,1526.00,1489.60,1513.60,2794
504959,20231006,2366.05,2423.40,2366.00,2411.40,307
504961,20231006,92.68,92.68,89.60,89.99,4738
504988,20231006,810.00,813.85,774.00,801.05,348
505036,20231006,1495.20,1585.00,1495.20,1570.20,4239
505075,20231006,6.51,6.60,6.51,6.60,37050
505141,20231006,33.45,33.77,32.81,33.77,24167
505160,20231006,1056.00,1065.00,1050.00,1057.70,3814
505163,20231006,745.00,760.00,736.05,756.30,3282
505196,20231006,282.00,286.00,280.00,280.00,1089
505212,20231006,156.50,163.95,155.80,157.25,2042
505216,20231006,823.75,830.00,823.75,828.50,157
505232,20231006,2070.40,2150.00,2001.10,2063.95,363
505242,20231006,4649.95,4749.55,4562.85,4618.15,1466
505250,20231006,67.80,67.80,66.00,66.44,1046
505283,20231006,677.00,684.95,667.60,680.55,4869
505299,20231006,390.00,390.00,374.00,376.50,8996
505302,20231006,2057.00,2075.00,2000.00,2067.45,648
505324,20231006,23.00,23.19,22.12,23.19,1722
505336,20231006,2.54,2.54,2.54,2.54,100
505343,20231006,0.56,0.56,0.56,0.56,2001653
505355,20231006,688.30,688.30,670.60,680.05,1341
505358,20231006,231.30,240.30,230.00,230.95,50923
505368,20231006,2366.90,2366.90,2366.90,2366.90,503
505412,20231006,14425.10,14491.00,14394.60,14468.00,20
505515,20231006,3.69,3.80,3.69,3.80,34
505523,20231006,1.19,1.19,1.16,1.18,220355
505537,20231006,259.00,261.65,258.50,260.50,222274
505650,20231006,10.79,10.79,10.33,10.36,6763
505681,20231006,647.80,647.95,637.50,639.05,1221
505690,20231006,423.80,432.25,418.35,432.25,695
505693,20231006,16.53,16.53,16.30,16.30,99600
505703,20231006,35.15,35.15,35.00,35.07,128
505712,20231006,119.00,119.50,116.00,116.55,2256
505720,20231006,317.80,339.15,315.85,321.60,5041
505725,20231006,653.00,654.70,643.10,644.50,9617
505726,20231006,909.95,914.90,888.95,908.55,1424
505729,20231006,96.87,101.71,96.30,101.71,123566
505737,20231006,1090.00,1111.80,1090.00,1111.80,3962
505750,20231006,469.00,469.00,443.25,450.10,3338
505797,20231006,16.74,16.74,16.74,16.74,400
505827,20231006,364.00,368.95,339.30,345.40,14806
505840,20231006,38.42,39.18,38.42,39.18,1440
505850,20231006,98.30,101.50,97.60,99.97,9280
505854,20231006,238.75,243.75,238.15,238.80,3028
505872,20231006,2892.20,2906.00,2855.00,2874.50,4599
505890,20231006,2570.00,2799.00,2565.00,2663.15,1553
505893,20231006,553.90,554.75,525.00,554.75,4955
505978,20231006,1607.00,1678.00,1607.00,1645.55,822
506003,20231006,11.66,11.66,11.43,11.66,9420
506022,20231006,139.50,142.45,138.75,140.40,50017
506105,20231006,81.01,82.99,81.00,81.00,343
506122,20231006,129.60,129.60,117.50,129.35,477
506128,20231006,92.85,92.85,92.50,92.84,2624
506134,20231006,98.99,98.99,95.23,95.23,150625
506146,20231006,0.99,1.01,0.93,0.96,636304
