TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
INDHOTEL-III,20231005,415,426.15,415,425.55,15,88000
INDIACEM-I,20231005,233,237.5,229.7,230.6,1718,19334300
INDIACEM-II,20231005,235.05,238.9,231.4,232.15,54,336400
INDIACEM-III,20231005,0,0,0,230.75,0,0
INDIAMART-I,20231005,2908.65,2925.4,2860.05,2874.5,587,572700
INDIAMART-II,20231005,2909,2911,2882.2,2882.75,12,15000
INDIAMART-III,20231005,2900,2900,2900,2900,2,600
INDIGO-I,20231005,2420,2489.8,2412.55,2485.4,8161,4234800
INDIGO-II,20231005,2434.4,2507.2,2430.15,2502.8,302,52500
INDIGO-III,20231005,2495,2523,2495,2521.9,11,3000
INDUSINDBK-I,20231005,1412.75,1422.7,1400.95,1408.85,5930,24715000
INDUSINDBK-II,20231005,1417.45,1431.9,1411.3,1418.15,170,222500
INDUSINDBK-III,20231005,1432.05,1440,1420.75,1423.6,13,13500
INDUSTOWER-I,20231005,188.05,189.4,182.85,183.95,3934,86064200
INDUSTOWER-II,20231005,188.6,190.55,184.3,185.4,139,693600
INDUSTOWER-III,20231005,190.1,190.1,188.35,188.35,2,30600
INFY-I,20231005,1444.75,1468.35,1440.85,1454.65,29389,18454400
INFY-II,20231005,1450.25,1474.65,1450.2,1460.45,1284,4489600
INFY-III,20231005,1457,1482.65,1457,1470.3,121,50400
IOC-I,20231005,90.35,91.4,89.45,89.9,1402,116288250
IOC-II,20231005,91.05,91.35,90.15,90.55,124,4563000
IOC-III,20231005,91.7,91.7,90.9,90.9,10,117000
IPCALAB-I,20231005,933.3,939.8,920.25,929.55,585,1604850
IPCALAB-II,20231005,921.3,926,919.9,926.3,5,48100
IPCALAB-III,20231005,0,0,0,930,0,650
IRCTC-I,20231005,708.75,730.1,708.5,723.05,9663,11577125
IRCTC-II,20231005,714.15,734.7,714.15,727.55,361,495250
IRCTC-III,20231005,724,737,724,730.6,19,39375
ITC-I,20231005,439.8,441.25,436,436.9,7761,65096000
ITC-II,20231005,440.95,444.2,439.25,440.1,275,1478400
ITC-III,20231005,444.35,446.5,442.5,443.25,26,78400
JINDALSTEL-I,20231005,685.15,686.8,676.3,680.35,1378,23612500
JINDALSTEL-II,20231005,687.7,690.5,682.8,685.25,45,102500
JINDALSTEL-III,20231005,0,0,0,699.65,0,7500
JKCEMENT-I,20231005,3168.25,3197.8,3125.85,3143.6,449,772000
JKCEMENT-II,20231005,0,0,0,3166.9,0,4750
JKCEMENT-III,20231005,0,0,0,3202.05,0,0
JSWSTEEL-I,20231005,761.5,762.9,755.05,759.3,2729,18330300
JSWSTEEL-II,20231005,767.05,768.15,761.1,765.25,114,268650
JSWSTEEL-III,20231005,766.95,770.25,764.5,770.25,5,12150
