Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
949875,HDB FINANCIAL SERVICES LIMITED,1005HDB2017,HDB FINANCIAL SERVICES Ltd,Delisted,F ,1000000,INE756I07373, ,Debentures and Bonds,-,-,-,-
949876,Sonata Finance Private Limited,1405SFPL20,Sonata Finance Pvt Ltd,Delisted,F ,1000000,INE509M07014, ,Debentures and Bonds,-,-,-,-
949877,ICICI HOME FINANCE COMPANY LIMITED,0IHFC2015D,ICICI HOME FINANCE COMPANY Ltd,Delisted,F ,1000000,INE071G08528, ,Debentures and Bonds,-,-,-,-
949878,ICICI HOME FINANCE COMPANY LIMITED,0IHFC2015E,ICICI HOME FINANCE COMPANY Ltd,Delisted,F ,1000000,INE071G08536, ,Debentures and Bonds,-,-,-,-
949879,Reliance Capital Limited,RCL05FEB14A,Reliance Capital Ltd,Delisted,F ,100000,INE013A07YT2, ,Debentures and Bonds,-,-,-,-
949880,Reliance Capital Limited,RCL05FEB14B,Reliance Capital Ltd,Delisted,F ,100000,INE013A07YU0, ,Debentures and Bonds,-,-,-,-
949881,ECL Finance Limited,ECLA7D301,ECL Finance Ltd,Delisted,F ,100000,INE804I07ST9, ,Debentures and Bonds,-,-,-,-
949882,ECL Finance Limited,ECLE7D401,ECL Finance Ltd,Delisted,F ,100000,INE804I07SN2, ,Debentures and Bonds,-,-,-,-
949883,ECL Finance Limited,ECLC7A302,ECL Finance Ltd,Delisted,F ,100000,INE804I07SR3, ,Debentures and Bonds,-,-,-,-
949884,ECL Finance Limited,ECLA6C401,ECL Finance Ltd,Delisted,F ,100000,INE804I07SW3, ,Debentures and Bonds,-,-,-,-
949885,ECL Finance Limited,ECLE6D301,ECL Finance Ltd,Delisted,F ,100000,INE804I07SO0, ,Debentures and Bonds,-,-,-,-
949886,ECL Finance Limited,ECLA6C303,ECL Finance Ltd,Delisted,F ,100000,INE804I07SS1, ,Debentures and Bonds,-,-,-,-
949887,ECL Finance Limited,ECLA5A301,ECL Finance Ltd,Delisted,F ,100000,INE804I07SP7, ,Debentures and Bonds,-,-,-,-
949888,ECL Finance Limited,ECLA6A301,ECL Finance Ltd,Delisted,F ,100000,INE804I07SU7, ,Debentures and Bonds,-,-,-,-
949889,ECL Finance Limited,ECLA7C301,ECL Finance Ltd,Delisted,F ,100000,INE804I07SV5, ,Debentures and Bonds,-,-,-,-
949890,HDB FINANCIAL SERVICES LIMITED,10HDB2019,HDB FINANCIAL SERVICES Ltd,Delisted,F ,1000000,INE756I07381, ,Debentures and Bonds,-,-,-,-
949891,JSW Steel Limited,1055JSWSL17,JSW Steel Ltd,Delisted,F ,1000000,INE019A07274, ,Debentures and Bonds,-,-,-,-
949892,Bajaj Finance Limited,0BFL2015E,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07989, ,Debentures and Bonds,-,-,-,-
949893,Bajaj Finance Limited,0BFL2015F,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07997, ,Debentures and Bonds,-,-,-,-
949894,Bajaj Finance Limited,0BFL2015G,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07AA3, ,Debentures and Bonds,-,-,-,-
949895,Bajaj Finance Limited,0BFL2015H,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07AB1, ,Debentures and Bonds,-,-,-,-
949896,Infrastructure Leasing & Financial Services Limited,995ILFS2019,Infrastructure Leasing & Financial Services Ltd,Delisted,F ,1000,INE871D07ND4, ,Debentures and Bonds,-,-,-,-
